t,step,s,lap,x,y,Ux,v_ref,v_err,a_cmd,acc,brake,e,dphi,delta,steer,delta_ff,delta_fb,beta,r,r_des,w_meas,x_la,gain_scale,dt,kappa,kappa_abs
119.6956327,807,859.9671273791319,0,517.0859985351562,-107.50544738769531,41.75827407836914,40.661258291999765,-1.0970157863693757,-2.427604669442966,-1.0,-0.352638754815209,1.009739214377509,-0.00476219317052573,0.053214996926288664,0.2540828942231657,0.03806890871062603,0.015146088215662636,0.03507535421053157,-0.6797063946723938,0.6943736474719915,1.0,8.0,1.0,0.0395352000000031,0.016628408687792924,0.016628408687792924
119.7362014,808,861.5574484798708,0,517.5294189453125,-109.1113052368164,41.4876708984375,40.59810864397001,-0.8895622544674922,-1.6997629014196542,-1.0,-0.5467298929547588,1.0497692174460589,-0.014582578956564785,0.05047073744176927,0.2409800203605234,0.03807819234008829,0.012392545101680983,0.03197903795379726,-0.5898378491401672,0.689807163613921,1.0,8.0,1.0,0.04056869999999435,0.01662679896643464,0.01662679896643464
119.7754899,809,863.2594382853858,0,517.9267578125,-110.72320556640625,41.2055549621582,40.47758065099722,-0.7279743111609847,-1.5983567987707206,-1.0,-0.5737715203278079,1.0968550147670322,0.003297583449888286,0.054497898257467925,0.2602082968738563,0.03804507303596244,0.01645282522150548,0.025530883874692774,-0.5001273155212402,0.6846963616166035,1.0,8.0,1.0,0.03928849999999784,0.016616603325580875,0.016616603325580875
119.8156908,810,864.8143155202706,0,518.2754516601562,-112.32902526855469,40.91936111450195,40.36624722499316,-0.5531138895087935,-1.354028119153644,-1.0,-0.6389258348923617,1.1435516948147129,0.014911191091513398,0.058556036361126634,0.2795844790422619,0.037973186987857864,0.020582849373268774,0.021471581999032832,-0.7350460886955261,0.679185328113872,1.0,8.0,1.0,0.04020090000000209,0.016598141066116658,0.016598141066116658
119.8563455,811,866.4798350931596,0,518.58447265625,-113.97089385986328,40.6694450378418,40.31603608042687,-0.3534089574149277,-1.0424662131267357,-1.0,-0.7220090098328704,1.1930810630471191,-0.0021857820925412774,0.05577642312039424,0.2663128034278746,0.03788020717468746,0.017896215945706787,0.027258026451556346,-0.6942498683929443,0.6745387029021627,1.0,8.0,1.0,0.040654700000004595,0.016585884126880095,0.016585884126880095
119.896523,812,868.0252697537435,0,518.8432006835938,-115.57383728027344,40.45613098144531,40.231110847808246,-0.22502013363706652,-1.0499411777988135,-1.0,-0.7200156859203164,1.2423479130359514,0.007187903375222682,0.058054683655167555,0.27719069620068537,0.037766247183327065,0.020288436471840487,0.023775314587548974,-0.596544086933136,0.6697867896712351,1.0,8.0,1.0,0.040177499999998645,0.016555878513900012,0.016555878513900012
119.9366137,813,869.5436083315508,0,519.0543212890625,-117.17338562011719,40.198673248291016,40.197388941570075,-0.0012843067209402648,-0.5205799536426221,-1.0,-0.8611786790286341,1.2853832078070981,-0.005437430683821631,0.056919276728431646,0.27176952745636146,0.037638528611325175,0.01928074811710647,0.024281057429123412,-0.791206419467926,0.6648249815840985,1.0,8.0,1.0,0.04009069999999326,0.016538480697552937,0.016538480697552937
119.9767762,814,871.1864109865564,0,519.2216186523438,-118.77719116210938,39.96748733520508,40.1462919292428,0.17880459403772164,-0.39398352063497927,-1.0,-0.8949377278306722,1.3285539162836726,-0.001376920600874687,0.05710135089321576,0.27263886755640304,0.037489733887161855,0.01961161700605391,0.027661628053178035,-0.6909023523330688,0.6594772067280836,1.0,8.0,1.0,0.040162500000008095,0.01650034192034854,0.01650034192034854
120.0165703,815,872.6934595298735,0,519.3435668945312,-120.36776733398438,39.761192321777344,40.110080477498975,0.3488881557216317,-0.18970141576258448,-1.0,-0.9494129557966441,1.3660549156079045,0.0054404938921237544,0.05906978204178186,0.2820374339793136,0.03732764471247483,0.021742137329307028,0.027010490264387583,-0.6862434148788452,0.6544646013092132,1.0,8.0,1.0,0.039794099999994614,0.01645988369797353,0.01645988369797353
120.0566931,816,874.1901075565693,0,519.421142578125,-121.95254516601562,39.57575225830078,40.093859063861764,0.5181068055609828,0.030862052183663835,-0.9936260718907354,-1.0,1.403726296010835,-0.009177212513669097,0.05611447752351999,0.2679268943066179,0.03716934196150136,0.01894513556201863,0.027588073761299427,-0.7494645714759827,0.6506098192498319,1.0,8.0,1.0,0.04012280000000601,0.016439607136295692,0.016439607136295692
120.0963881,817,875.8007507193906,0,519.4531860351562,-123.53375244140625,39.48051071166992,40.05708897945788,0.5765782677879585,-0.16070887901235162,-1.0,-0.9571442989300396,1.4326671910055855,-0.002838592563708886,0.05785123518926254,0.276219301330288,0.0370141036138318,0.020837131575430736,0.028731853177656752,-0.6800408363342285,0.6474967598499588,1.0,8.0,1.0,0.03969499999999471,0.0164004149940889,0.0164004149940889
120.1363897,818,877.2882298695913,0,519.4425659179688,-125.1100845336914,39.299564361572266,40.03356900540347,0.7340046438312058,0.29900218395556183,-0.9390010690849538,-1.0,1.4637397283652025,-0.010923428415923198,0.05630641279496326,0.26884331772273434,0.03686270540514756,0.0194437073898157,0.027155688094275453,-0.6012383103370667,0.6438002663688721,1.0,8.0,1.0,0.04000159999999653,0.01638186775928718,0.01638186775928718
