pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-141.4634,-23.3758,25.8873,-0.380212,623.48,0.122806
-140.5101,-23.7568,25.453,-0.39259,624.57,0.123021
-139.5813,-24.1495,25.0718,-0.409294,625.56,0.123216
-138.6732,-24.5602,24.8609,-0.43172,626.53,0.123408
-137.7797,-24.9873,24.7139,-0.456241,627.57,0.123613
-136.9044,-25.4351,24.5109,-0.480737,628.53,0.123801
-136.0498,-25.9054,24.3558,-0.513113,629.48,0.123988
-135.2129,-26.398,24.2596,-0.544161,630.48,0.124186
-134.3954,-26.9131,24.1151,-0.574462,631.42,0.124371
-133.6019,-27.4509,23.8712,-0.609292,632.34,0.124552
-132.8345,-28.0051,23.5118,-0.641825,633.32,0.124745
-132.0933,-28.5769,23.2878,-0.675233,634.21,0.124921
-131.3814,-29.164,22.9386,-0.708458,635.09,0.125094
-130.6985,-29.7645,22.645,-0.740522,636.03,0.125278
-130.0414,-30.3799,22.4255,-0.769144,636.88,0.125446
-129.4118,-31.0127,22.2886,-0.801443,637.72,0.125613
-128.808,-31.6627,22.1075,-0.828753,638.63,0.12579
-128.2299,-32.324,21.8696,-0.860409,639.46,0.125954
-127.6808,-32.9982,21.6703,-0.894193,640.28,0.126116
-127.1601,-33.6847,21.4886,-0.92812,641.15,0.126287
-126.6654,-34.3819,21.2755,-0.960782,641.96,0.126447
-126.198,-35.0912,21.2933,-0.996933,642.76,0.126605
-125.7556,-35.816,21.2178,-1.0279,643.62,0.126774
-125.3374,-36.5519,21.1591,-1.057484,644.41,0.12693
-124.9427,-37.2971,21.0635,-1.08857,645.2,0.127085
-124.5737,-38.0506,20.9486,-1.118435,646.04,0.127251
-124.2312,-38.812,20.8634,-1.149396,646.83,0.127405
-123.9138,-39.5803,20.7752,-1.182206,647.6,0.127558
-123.6206,-40.3544,20.6837,-1.211874,648.43,0.127721
-123.353,-41.1337,20.6025,-1.241378,649.2,0.127872
-123.1124,-41.918,20.5111,-1.273927,649.96,0.128023
-122.8986,-42.704,20.2838,-1.306548,650.78,0.128183
-122.7135,-43.4912,20.2798,-1.341314,651.53,0.128331
-122.5582,-44.2871,20.3797,-1.378298,652.28,0.128479
-122.4331,-45.094,20.5699,-1.413058,653.09,0.12864
-122.3364,-45.9151,20.8887,-1.449503,653.87,0.128792
-122.2664,-46.753,21.2134,-1.487977,654.64,0.128945
-122.2248,-47.605,21.5223,-1.523481,655.5,0.129113
-122.215,-48.4691,21.7317,-1.558194,656.3,0.129271
-122.2375,-49.3399,21.885,-1.596979,657.11,0.129431
-122.2952,-50.2152,22.0267,-1.634927,657.99,0.129604
-122.3912,-51.0929,22.1939,-1.675195,658.82,0.129767
-122.5223,-51.976,22.4883,-1.719268,659.65,0.12993
-122.6875,-52.866,22.8198,-1.761789,660.56,0.13011
-122.8883,-53.7632,23.1729,-1.806443,661.42,0.130279
-123.1263,-54.664,23.4155,-1.854923,662.29,0.130451
-123.4032,-55.5633,23.6747,-1.898456,663.24,0.130638
-123.7173,-56.4617,23.9169,-1.936825,664.13,0.130813
-124.0657,-57.3573,24.1625,-1.973257,665.04,0.130993
-124.4482,-58.2526,24.5333,-2.003063,666.03,0.131189
-124.862,-59.1492,24.8614,-2.02935,666.97,0.131373
-125.3058,-60.0478,25.2444,-2.057325,667.93,0.131561
-125.7806,-60.9467,25.5775,-2.079949,668.98,0.131768
-126.2839,-61.8438,25.8918,-2.10184,669.96,0.131962
-126.8163,-62.7411,26.2681,-2.124773,670.97,0.13216
-127.3769,-63.6389,26.6765,-2.146809,672.07,0.132377
-127.9646,-64.5401,27.133,-2.168278,673.11,0.132582
-128.5798,-65.4432,27.5192,-2.190562,674.16,0.13279
