pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
98.0291,178.7646,85.1492,34.2705,-0.569281,348.89,0.075979
99.464,177.8469,85.1797,34.2701,-0.569004,350.67,0.076368
100.8996,176.9294,85.2032,34.2709,-0.568706,352.46,0.076758
102.3358,176.012,85.2229,34.2734,-0.568426,354.0,0.077092
103.7728,175.0948,85.2528,34.2791,-0.568092,355.79,0.077482
105.2265,174.1676,85.2768,34.2803,-0.567744,357.58,0.077872
106.6648,173.2509,85.2881,34.2769,-0.567449,359.12,0.078207
108.1036,172.3343,85.3203,34.2759,-0.567195,360.9,0.078595
109.5433,171.4176,85.3595,34.28,-0.566984,362.69,0.078986
110.9837,170.5009,85.3829,34.2848,-0.566764,364.23,0.07932
112.4246,169.5843,85.392,34.2828,-0.56661,366.02,0.07971
113.8658,168.6678,85.4131,34.284,-0.566436,367.81,0.080101
115.3077,167.7511,85.4491,34.2854,-0.566261,369.35,0.080435
116.7503,166.8343,85.4788,34.2837,-0.566129,371.14,0.080826
118.1933,165.9175,85.4898,34.2803,-0.565985,372.94,0.081217
119.6367,165.0009,85.4986,34.2782,-0.565828,374.48,0.081552
121.0805,164.0842,85.5381,34.2775,-0.565684,376.28,0.081945
122.5252,163.1672,85.5746,34.2784,-0.565546,378.08,0.082336
123.9704,162.2501,85.5933,34.2744,-0.565459,379.61,0.08267
125.4159,161.3329,85.6031,34.25,-0.565413,381.41,0.083062
126.8617,160.4156,85.6297,34.1954,-0.565375,383.21,0.083453
128.3079,159.498,85.6565,34.1048,-0.565378,384.76,0.08379
129.7547,158.5802,85.6856,33.954,-0.565365,386.55,0.084182
131.2018,157.662,85.7138,33.787,-0.565402,388.35,0.084574
132.6494,156.7434,85.7384,33.6261,-0.565439,389.89,0.084909
134.0974,155.8245,85.7649,33.4433,-0.56548,391.7,0.085302
135.5458,154.9053,85.7833,33.2831,-0.565492,393.5,0.085694
136.9943,153.9859,85.7904,33.1489,-0.565521,395.04,0.08603
138.443,153.0665,85.8076,32.9767,-0.565509,396.85,0.086425
139.8922,152.1467,85.8528,32.8028,-0.565572,398.65,0.086817
141.342,151.2264,85.8847,32.6655,-0.565595,400.19,0.087152
142.7923,150.3057,85.9068,32.5022,-0.565612,401.99,0.087544
144.2429,149.385,85.9076,32.3379,-0.565573,403.8,0.087938
145.6934,148.4644,85.9171,32.1994,-0.565536,405.35,0.088275
147.1446,147.5434,85.9653,32.0401,-0.565471,407.15,0.088668
148.652,146.5869,85.9977,31.8811,-0.565421,408.96,0.089062
150.1141,145.6593,86.0083,31.7278,-0.565344,410.76,0.089454
151.5667,144.738,86.0189,31.5837,-0.565265,412.31,0.089791
153.0196,143.8166,86.0455,31.4272,-0.565161,414.12,0.090186
154.4732,142.8949,86.0787,31.2832,-0.565101,415.93,0.090579
155.9272,141.9731,86.1034,31.1435,-0.565022,417.48,0.090916
157.3818,141.0511,86.1266,30.9749,-0.564943,419.28,0.091309
158.8368,140.129,86.1461,30.8043,-0.564855,421.09,0.091704
160.2922,139.2069,86.1669,30.6723,-0.564747,422.64,0.092041
161.7481,138.2846,86.1926,30.5099,-0.564685,424.45,0.092435
163.2044,137.3622,86.2072,30.3515,-0.564587,426.27,0.09283
164.6611,136.4398,86.2298,30.2176,-0.564474,427.81,0.093168
166.1184,135.5173,86.2645,30.0599,-0.564389,429.64,0.093564
167.5814,134.5912,86.289,29.8986,-0.564325,431.44,0.093957
169.0395,133.6683,86.2983,29.7619,-0.564281,432.99,0.094295
170.4979,132.7454,86.3115,29.6118,-0.564222,434.8,0.094689
171.9567,131.8223,86.3462,29.467,-0.564143,436.61,0.095084
173.4162,130.899,86.3736,29.3314,-0.564084,438.17,0.095423
174.8777,129.9745,86.397,29.1804,-0.564038,439.99,0.095819
176.338,129.0508,86.4139,29.031,-0.563976,441.8,0.096213
177.7987,128.1271,86.4254,28.9026,-0.563924,443.36,0.096552
179.2617,127.2021,86.4445,28.7523,-0.563776,445.16,0.096946
180.7231,126.2784,86.4699,28.5983,-0.563679,446.99,0.097343
182.1851,125.3546,86.5005,28.4661,-0.563495,448.55,0.097682
